,tp,fp,fn,precision,recall,f1
formula,1.2820512820512822,1.641025641025641,1.564102564102564,0.6091168091168091,0.6163003663003662,0.5733451733451733
activity,2.1794871794871793,0.7435897435897436,0.6666666666666666,0.8202279202279202,0.8355311355311354,0.7734339734339735
syngony,1.6923076923076923,1.2307692307692308,1.1538461538461537,0.5467236467236466,0.5970695970695971,0.5335294335294336
length,0.38461538461538464,2.5384615384615383,2.4615384615384617,0.10897435897435898,0.09829059829059829,0.09704924704924704
width,0.358974358974359,2.5641025641025643,2.4871794871794872,0.08903133903133903,0.10470085470085472,0.0843952343952344
depth,0.23076923076923078,2.6923076923076925,2.6153846153846154,0.057692307692307696,0.057692307692307696,0.05341880341880341
surface,0.6923076923076923,2.230769230769231,2.1538461538461537,0.2621082621082621,0.29059829059829057,0.2648795648795649
km_value,1.4102564102564104,1.5128205128205128,1.435897435897436,0.5082621082621083,0.5592185592185592,0.4946312946312946
km_unit,1.8717948717948718,1.0512820512820513,0.9743589743589743,0.6535612535612535,0.6804029304029304,0.6202205202205204
vmax_value,0.9487179487179487,1.9743589743589745,1.8974358974358974,0.3411680911680911,0.3669108669108669,0.33767158767158767
vmax_unit,0.41025641025641024,2.5128205128205128,2.4358974358974357,0.1752136752136752,0.16666666666666666,0.1641025641025641
reaction_type,1.0769230769230769,1.8461538461538463,1.7692307692307692,0.4668091168091169,0.4957875457875458,0.4443130943130944
c_min,0.7692307692307693,2.1538461538461537,2.076923076923077,0.20085470085470084,0.19230769230769232,0.18974358974358976
c_max,0.7948717948717948,2.128205128205128,2.051282051282051,0.23162393162393163,0.23717948717948717,0.22123432123432124
c_const,0.7692307692307693,2.1538461538461537,2.076923076923077,0.26153846153846155,0.2692307692307692,0.2526251526251526
c_const_unit,0.8717948717948718,2.051282051282051,1.9743589743589745,0.31367521367521367,0.30128205128205127,0.2847374847374847
ccat_value,1.0,1.9230769230769231,1.8461538461538463,0.286039886039886,0.34386446886446886,0.287936137936138
ccat_unit,0.38461538461538464,2.5384615384615383,2.4615384615384617,0.11538461538461539,0.1282051282051282,0.12074592074592075
ph,1.6153846153846154,1.3076923076923077,1.2307692307692308,0.6984330484330484,0.7188644688644689,0.656922706922707
temperature,0.0,2.923076923076923,2.8461538461538463,0.0,0.0,0.0
