,tp,fp,fn,precision,recall,f1
np,1.2686567164179106,0.2537313432835821,6.388059701492537,0.2414179104477612,0.10812786948925478,0.131839262495089
coating,1.0149253731343284,0.5074626865671642,6.641791044776119,0.23880597014925373,0.07285153853406008,0.09824087140827793
bacteria,1.4029850746268657,0.11940298507462686,6.253731343283582,0.27805614783226723,0.11170758298711944,0.1383753637815763
mdr,1.1492537313432836,0.373134328358209,6.507462686567164,0.20833333333333331,0.0824381414640149,0.10196570752754436
strain,1.0,0.5223880597014925,6.656716417910448,0.19847192608386638,0.08446037296385832,0.10452934663904757
np_synthesis,0.26865671641791045,1.2537313432835822,7.388059701492537,0.04477611940298507,0.02473210868733257,0.028227562452987052
method,1.328358208955224,0.19402985074626866,6.3283582089552235,0.2557036247334755,0.11140637202212214,0.13604329789051814
mic_np_µg_ml,0.3880597014925373,1.1343283582089552,7.268656716417911,0.08830845771144279,0.026455633918320485,0.03791137309536692
concentration,0.31343283582089554,1.208955223880597,7.343283582089552,0.06666666666666667,0.016016577033859045,0.025240970445143025
zoi_np_mm,0.417910447761194,1.1044776119402986,7.2388059701492535,0.0955223880597015,0.022762704695147743,0.03519019535237855
np_size_min_nm,0.8507462686567164,0.6716417910447762,6.8059701492537314,0.1791044776119403,0.07384369135431494,0.09243748413545065
np_size_max_nm,0.8059701492537313,0.7164179104477612,6.850746268656716,0.16417910447761194,0.06936607941401644,0.08554885038114525
np_size_avg_nm,0.6119402985074627,0.9104477611940298,7.044776119402985,0.16417910447761194,0.04923051322581868,0.06572737929622689
shape,0.9850746268656716,0.5373134328358209,6.6716417910447765,0.1742537313432836,0.08957833211564555,0.10881967577798766
time_set_hours,0.7313432835820896,0.7910447761194029,6.925373134328358,0.15719616204690834,0.06071529936416032,0.07857146382371394
zeta_potential_mV,0.23880597014925373,1.2835820895522387,7.417910447761194,0.03619402985074627,0.02762163209924404,0.030743717310881487
solvent_for_extract,0.8059701492537313,0.7164179104477612,6.850746268656716,0.14477611940298507,0.04165433653291845,0.05947172640672199
temperature_for_extract_C,0.14925373134328357,1.373134328358209,7.507462686567164,0.02771855010660981,0.017768301350390904,0.02025586353944563
duration_preparing_extract_min,0.1044776119402985,1.4179104477611941,7.552238805970149,0.014925373134328358,0.014925373134328358,0.014925373134328358
precursor_of_np,0.9701492537313433,0.5522388059701493,6.686567164179104,0.16892324093816632,0.08017085661472423,0.09348282182515273
concentration_of_precursor_mM,0.4626865671641791,1.0597014925373134,7.1940298507462686,0.0767590618336887,0.03153206300513244,0.03889619783554366
hydrodynamic_diameter_nm,0.05970149253731343,1.462686567164179,7.597014925373134,0.011940298507462687,0.007462686567164179,0.009184845005740528
ph_during_synthesis,0.029850746268656716,1.492537313432836,7.626865671641791,0.014925373134328358,0.0003244646333549643,0.0006351222610352492
