,tp,fp,fn,precision,recall,f1
formula,1.3333333333333333,1.8974358974358974,1.5128205128205128,0.5278998778998778,0.5863247863247862,0.5114977614977615
activity,2.2051282051282053,1.0256410256410255,0.6410256410256411,0.7435897435897436,0.7994810744810744,0.7197876197876198
syngony,1.7692307692307692,1.4615384615384615,1.0769230769230769,0.5946275946275946,0.6599511599511599,0.5874514374514376
length,0.23076923076923078,3.0,2.6153846153846154,0.09615384615384616,0.0811965811965812,0.08547008547008547
width,0.23076923076923078,3.0,2.6153846153846154,0.09615384615384616,0.0811965811965812,0.08547008547008547
depth,0.23076923076923078,3.0,2.6153846153846154,0.09615384615384616,0.0811965811965812,0.08547008547008547
surface,0.8717948717948718,2.358974358974359,1.9743589743589745,0.33357753357753356,0.3923992673992674,0.3342546342546343
km_value,1.5128205128205128,1.7179487179487178,1.3333333333333333,0.5205128205128204,0.6108058608058607,0.5236541236541237
km_unit,1.7179487179487178,1.5128205128205128,1.1282051282051282,0.6410256410256411,0.70503663003663,0.6303289303289304
vmax_value,1.0512820512820513,2.1794871794871793,1.794871794871795,0.3423076923076923,0.36507936507936506,0.32920967920967914
vmax_unit,0.6666666666666666,2.5641025641025643,2.1794871794871793,0.28803418803418807,0.3376068376068376,0.28516483516483515
reaction_type,1.3076923076923077,1.9230769230769231,1.5384615384615385,0.572985347985348,0.5957264957264956,0.5453398453398453
c_min,0.48717948717948717,2.7435897435897436,2.358974358974359,0.1811965811965812,0.2564102564102564,0.19755799755799758
c_max,0.3333333333333333,2.8974358974358974,2.5128205128205128,0.12136752136752137,0.1282051282051282,0.11465201465201463
c_const,0.6666666666666666,2.5641025641025643,2.1794871794871793,0.22148962148962148,0.22222222222222227,0.20836385836385837
c_const_unit,0.8974358974358975,2.3333333333333335,1.9487179487179487,0.29072039072039074,0.30982905982905984,0.28327228327228327
ccat_value,1.1025641025641026,2.128205128205128,1.7435897435897436,0.335042735042735,0.33516483516483514,0.3132756132756132
ccat_unit,0.5384615384615384,2.6923076923076925,2.3076923076923075,0.09572649572649573,0.11538461538461539,0.10183150183150183
ph,1.435897435897436,1.794871794871795,1.4102564102564104,0.5603479853479852,0.6225579975579975,0.544899544899545
temperature,1.1538461538461537,2.076923076923077,1.6923076923076923,0.3868131868131868,0.4337606837606837,0.3736874236874237
